@ARDAT,1869951,1668186370000,-5.689,113.939,336.9,359,0,1
@ARDAT,1869952,1668186371000,-9.023,113.509,258.3,191,1,1
@ARDAT,1869953,1668186371000,-8.976,113.260,261.1,217,1,1
@ARDAT,1869954,1668186372000,-6.722,113.640,321.2,277,2,1
@ARDAT,1869955,1668186382000,-13.012,112.582,210.7,559,0,0
@ARDAT,1869956,1668186384000,-8.796,113.387,266.1,201,1,1
@ARDAT,1869957,1668186384000,-8.904,113.535,262.1,186,1,1
@ARDAT,1869958,1668186384000,-8.814,113.407,265.5,199,1,1
@ARDAT,1869959,1668186385000,-8.724,113.502,268.3,188,1,1
@ARDAT,1869960,1668186385000,-8.795,113.405,266.1,199,1,1
@ARDAT,1869961,1668186388000,-6.587,113.683,323.8,286,1,1
@ARDAT,1869962,1668186388000,-6.760,112.640,306.6,354,1,1
@ARDAT,1869963,1668186388000,-6.938,112.745,305.1,333,0,1
@ARDAT,1869964,1668186388000,-9.543,111.640,256,404,0,0
@ARDAT,1869965,1668186388000,-6.864,112.880,307.8,326,0,1
@ARDAT,1869966,1668186392000,-8.951,113.441,261,197,1,1
@ARDAT,1869967,1668186393000,-8.522,112.962,273.8,248,0,1
@ARDAT,1869968,1668186429000,-6.995,112.716,303.9,332,0,1
@ARDAT,1869969,1668186452000,-8.879,113.596,262.7,179,0,1
@ARDAT,1869970,1668186452000,-8.895,113.543,262.4,185,1,1
@ARDAT,1869971,1668186454000,-6.569,112.760,310.6,357,1,1
@ARDAT,1869972,1668186454000,-6.715,112.920,310.5,333,0,1
@ARDAT,1869973,1668186454000,-7.015,112.736,303.8,329,0,1
@ARDAT,1869974,1668186455000,-6.855,112.638,305.2,348,0,1
@ARDAT,1869975,1668186455000,-6.908,112.801,306.2,330,0,1
@ARDAT,1869976,1668186458000,-6.708,113.717,322.8,273,1,1
@ARDAT,1869977,1668186464000,-11.161,118.855,124.8,485,1,0
@ARDAT,1869978,1668186464000,-9.672,116.741,123.3,201,2,0
@ARDAT,1869979,1668186464000,-10.512,117.718,126.6,342,1,0
@ARDAT,1869980,1668186469000,-3.101,114.716,354.9,619,1,0
@ARDAT,1869981,1668186471000,-6.782,113.830,323.9,259,0,1
@ARDAT,1869982,1668186472000,-8.784,113.478,266.3,191,1,1
@ARDAT,1869983,1668186481000,-6.730,113.674,321.7,274,2,1
@ARDAT,1869984,1668186492000,-6.892,113.126,310.5,303,2,1
@ARDAT,1869985,1668186496000,-8.584,112.659,271.9,281,0,1
@ARDAT,1869986,1668186505000,-7.002,112.911,306,314,1,1
@ARDAT,1869987,1668186505000,-7.131,112.746,302,321,0,1
@ARDAT,1869988,1668186505000,-9.499,112.486,252.9,313,1,0
@ARDAT,1869989,1668186512000,-6.764,113.479,317.8,285,1,1
@ARDAT,1869990,1668186512000,-6.607,111.100,296.5,508,1,0
@ARDAT,1869991,1668186512000,-6.934,112.627,303.9,344,0,1
@ARDAT,1869992,1668186512000,-7.504,112.566,293.8,319,1,1
@ARDAT,1869993,1668186513000,-6.947,112.684,304.3,338,0,1
@ARDAT,1869994,1668186531000,-5.596,113.836,335.9,373,0,1
@ARDAT,1869995,1668186533000,-6.737,113.509,318.7,285,1,1
@ARDAT,1869996,1668186534000,-6.867,113.333,313.9,288,1,1
@ARDAT,1869997,1668186534000,-6.954,112.812,305.6,326,0,1
@ARDAT,1869998,1668186535000,-5.921,111.958,310.1,471,1,0
@ARDAT,1869999,1668186536000,-7.253,112.820,300.7,307,1,1
@ARDAT,1870000,1668186537000,-6.723,112.961,310.9,329,0,1
@ARDAT,1870001,1668186537000,-6.543,118.576,57.8,440,1,0
@ARDAT,1870002,1668186537000,-6.890,112.963,308.4,317,0,1
@ARDAT,1870003,1668186537000,-6.945,112.886,306.6,320,0,1
@ARDAT,1870004,1668186538000,-6.943,112.697,304.5,337,1,1
@ARDAT,1870005,1668186538000,-8.994,113.208,260.8,223,1,1
@ARDAT,1870006,1668186538000,-8.773,113.513,266.6,187,1,1
@ARDAT,1870007,1668186538000,-9.018,113.295,259.7,214,1,1
@ARDAT,1870008,1668186539000,-8.955,113.460,260.8,195,1,1
@ARDAT,1870009,1668186539000,-9.020,113.222,260,222,2,1
@ARDAT,1870010,1668186544000,-7.025,112.751,303.8,327,0,1
@ARDAT,1870011,1668186544000,-7.169,112.701,300.9,323,0,1
@ARDAT,1870012,1668186553000,-5.702,113.864,335.6,361,1,1
@ARDAT,1870013,1668186556000,-8.984,113.622,258.9,178,0,1
@ARDAT,1870014,1668186559000,-6.854,112.683,305.7,344,0,1
@ARDAT,1870015,1668186559000,-6.892,112.633,304.6,346,0,1
@ARDAT,1870016,1668186578000,-6.693,110.070,290.8,608,2,0
@ARDAT,1870017,1668186579000,-7.845,112.810,289,280,1,0
@ARDAT,1870018,1668186579000,-8.017,112.784,285.1,277,1,1
@ARDAT,1870019,1668186583000,-6.774,112.573,305.7,359,2,1
@ARDAT,1870020,1668186584000,-7.140,112.741,301.8,321,0,1
@ARDAT,1870021,1668186584000,-4.164,114.643,352.8,503,2,0
@ARDAT,1870022,1668186594000,-13.161,112.424,211.3,582,0,0
@ARDAT,1870023,1668186594000,-11.893,112.322,221.4,476,0,0
@ARDAT,1870024,1668186596000,-8.715,113.648,268.5,172,0,1
@ARDAT,1870025,1668186602000,-5.689,113.511,330.3,380,2,1
@ARDAT,1870026,1668186603000,-5.676,113.750,334,369,1,1
@ARDAT,1870027,1668186603000,-6.858,112.804,307,333,2,1
@ARDAT,1870028,1668186610000,-7.074,112.860,304.2,314,2,1
